,country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
1633,BR,Brasil,26,Pernambuco,PE,2614006,Serrita,19226,0.595,"[2020, 2019, 2018, 2017, 2016]","[1286, 1398, 1034, 1260, 1300]"
1634,BR,Brasil,26,Pernambuco,PE,2614105,Sertânia,36189,0.613,"[2020, 2019, 2018, 2017, 2016]","[2223, 4796, 4558, 2323, 2188]"
1635,BR,Brasil,26,Pernambuco,PE,2614204,Sirinhaém,46845,0.597,"[2020, 2019, 2018, 2017, 2016]","[7659, 8852, 8768, 8367, 7955]"
1636,BR,Brasil,26,Pernambuco,PE,2614303,Moreilândia,11269,0.6,"[2020, 2019, 2018, 2017, 2016]","[717, 780, 808, 746, 703]"
1637,BR,Brasil,26,Pernambuco,PE,2614402,Solidão,6034,0.585,"[2020, 2019, 2018, 2017, 2016]","[409, 391, 441, 386, 371]"
1638,BR,Brasil,26,Pernambuco,PE,2614501,Surubim,66192,0.635,"[2020, 2019, 2018, 2017, 2016]","[7503, 7410, 7055, 7305, 6947]"
1639,BR,Brasil,26,Pernambuco,PE,2614600,Tabira,28860,0.605,"[2020, 2019, 2018, 2017, 2016]","[2276, 2348, 2230, 2163, 2122]"
1640,BR,Brasil,26,Pernambuco,PE,2614709,Tacaimbó,12843,0.5539999999999999,"[2020, 2019, 2018, 2017, 2016]","[895, 1026, 891, 1100, 954]"
1641,BR,Brasil,26,Pernambuco,PE,2614808,Tacaratu,26439,0.573,"[2020, 2019, 2018, 2017, 2016]","[1299, 1424, 1412, 1444, 1495]"
1642,BR,Brasil,26,Pernambuco,PE,2614857,Tamandaré,23852,0.593,"[2020, 2019, 2018, 2017, 2016]","[3501, 3476, 3536, 3597, 3034]"
1643,BR,Brasil,26,Pernambuco,PE,2615003,Taquaritinga do Norte,29472,0.6409999999999999,"[2020, 2019, 2018, 2017, 2016]","[2460, 2799, 2327, 2704, 2053]"
1644,BR,Brasil,26,Pernambuco,PE,2615102,Terezinha,7227,0.545,"[2020, 2019, 2018, 2017, 2016]","[437, 598, 357, 389, 388]"
1645,BR,Brasil,26,Pernambuco,PE,2615805,Tupanatinga,27793,0.519,"[2020, 2019, 2018, 2017, 2016]","[1377, 1525, 1722, 1685, 1376]"
1646,BR,Brasil,26,Pernambuco,PE,2615201,Terra Nova,10314,0.599,"[2020, 2019, 2018, 2017, 2016]","[462, 595, 556, 572, 515]"
