country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
BR,Brasil,11,Rondônia,RO,1100908,Castanheiras,2923,0.658,"[2020, 2019, 2018, 2017, 2016]","[352, 377, 437, 462, 289]"
BR,Brasil,11,Rondônia,RO,1100924,Chupinguaia,11755,0.652,"[2020, 2019, 2018, 2017, 2016]","[2284, 2386, 2554, 2282, 1209]"
BR,Brasil,12,Acre,AC,1200203,Cruzeiro do Sul,89760,0.664,"[2020, 2019, 2018, 2017, 2016]","[10585, 10435, 9267, 9272, 8753]"
BR,Brasil,17,Tocantins,TO,1715002,Nova Rosalândia,4348,0.661,"[2020, 2019, 2018, 2017, 2016]","[278, 268, 261, 263, 217]"
BR,Brasil,11,Rondônia,RO,1100940,Cujubim,27131,0.612,"[2020, 2019, 2018, 2017, 2016]","[1571, 1552, 1504, 1714, 1591]"
BR,Brasil,11,Rondônia,RO,1101005,Governador Jorge Teixeira,7130,0.596,"[2020, 2019, 2018, 2017, 2016]","[626, 656, 787, 710, 661]"
BR,Brasil,11,Rondônia,RO,1101104,Itapuã do Oeste,10819,0.614,"[2020, 2019, 2018, 2017, 2016]","[1153, 1209, 1199, 1302, 1241]"
BR,Brasil,11,Rondônia,RO,1101203,Ministro Andreazza,9461,0.638,"[2020, 2019, 2018, 2017, 2016]","[1006, 960, 945, 969, 953]"
BR,Brasil,11,Rondônia,RO,1101302,Mirante da Serra,10691,0.643,"[2020, 2019, 2018, 2017, 2016]","[1422, 1391, 1395, 1387, 1284]"
BR,Brasil,11,Rondônia,RO,1101401,Monte Negro,16158,0.607,"[2020, 2019, 2018, 2017, 2016]","[1411, 1418, 1451, 1489, 1408]"
BR,Brasil,14,Roraima,RR,1400308,Mucajaí,18482,0.665,"[2020, 2019, 2018, 2017, 2016]","[1192, 1049, 1082, 913, 890]"
BR,Brasil,14,Roraima,RR,1400407,Normandia,11772,0.594,"[2020, 2019, 2018, 2017, 2016]","[627, 547, 504, 681, 809]"
BR,Brasil,14,Roraima,RR,1400456,Pacaraima,20108,0.65,"[2020, 2019, 2018, 2017, 2016]","[1172, 1060, 716, 620, 520]"
BR,Brasil,14,Roraima,RR,1400472,Rorainópolis,31387,0.619,"[2020, 2019, 2018, 2017, 2016]","[2632, 2531, 2417, 2662, 2412]"
BR,Brasil,17,Tocantins,TO,1715101,Novo Acordo,4450,0.639,"[2020, 2019, 2018, 2017, 2016]","[456, 508, 540, 303, 325]"
BR,Brasil,11,Rondônia,RO,1101450,Parecis,6319,0.617,"[2020, 2019, 2018, 2017, 2016]","[539, 530, 481, 513, 489]"
BR,Brasil,11,Rondônia,RO,1101468,Pimenteiras do Oeste,2127,0.665,"[2020, 2019, 2018, 2017, 2016]","[409, 424, 343, 346, 305]"
BR,Brasil,11,Rondônia,RO,1101476,Primavera de Rondônia,2697,0.641,"[2020, 2019, 2018, 2017, 2016]","[354, 357, 355, 466, 342]"
BR,Brasil,11,Rondônia,RO,1101484,São Felipe D'Oeste,4962,0.649,"[2020, 2019, 2018, 2017, 2016]","[584, 553, 543, 543, 471]"
BR,Brasil,11,Rondônia,RO,1101492,São Francisco do Guaporé,21088,0.611,"[2020, 2019, 2018, 2017, 2016]","[1666, 1664, 1724, 1621, 1538]"
BR,Brasil,11,Rondônia,RO,1101500,Seringueiras,11846,0.598,"[2020, 2019, 2018, 2017, 2016]","[1307, 1321, 1307, 1303, 1325]"
BR,Brasil,11,Rondônia,RO,1101559,Teixeirópolis,4160,0.643,"[2020, 2019, 2018, 2017, 2016]","[509, 527, 525, 542, 489]"
BR,Brasil,11,Rondônia,RO,1101609,Theobroma,10348,0.589,"[2020, 2019, 2018, 2017, 2016]","[800, 791, 809, 794, 719]"
BR,Brasil,28,Sergipe,SE,2802502,General Maynard,3421,0.645,"[2020, 2019, 2018, 2017, 2016]","[381, 319, 380, 363, 269]"
BR,Brasil,11,Rondônia,RO,1101708,Urupá,11081,0.609,"[2020, 2019, 2018, 2017, 2016]","[1662, 1629, 1518, 1333, 1205]"
BR,Brasil,11,Rondônia,RO,1101757,Vale do Anari,11545,0.584,"[2020, 2019, 2018, 2017, 2016]","[860, 797, 777, 742, 685]"
BR,Brasil,11,Rondônia,RO,1101807,Vale do Paraíso,6490,0.627,"[2020, 2019, 2018, 2017, 2016]","[753, 733, 688, 710, 628]"
BR,Brasil,12,Acre,AC,1200013,Acrelândia,15721,0.604,"[2020, 2019, 2018, 2017, 2016]","[927, 833, 869, 913, 856]"
